;;;;hsa04917; ; ;hsa04610; ; ;hsa04145; ; ;hsa04380; ; ;hsa04666; ; ;hsa04340; ; ;hsa03050; ; ;hsa04621; ; ;hsa04152; ; ;hsa04066; ; ;hsa05100; ; ;hsa04650; ; ;hsa04662; ; ;hsa04060; ; ;hsa04120; ; ;hsa04330; ; ;hsa04151; ; ;hsa04520; ; ;hsa04660; ; ;hsa04110; ; ;hsa04068; ; ;hsa04530; ; ;hsa04210; ; ;hsa04640; ; ;hsa04140; ; ;hsa04510; ; ;hsa04150; ; ;hsa04144; ; ;hsa04014; ; ;hsa04350; ; ;hsa04062; ; ;hsa04630; ; ;hsa04620; ; ;hsa04310; ; ;hsa04010; ; ;hsa04810; ; ;hsa04612; ; ;hsa04064; ; ;hsa04722; ; 
mirnaname;type;hostgene;Link to target;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget
"hsa-mir-325";"inter";"FGF16";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-325/";"0";"6";"0";"0";"5";"0";"0";"4";"0";"0";"2";"0";"0";"3";"0";"0";"1";"0";"0";"1";"0";"0";"3";"0";"0";"6";"0";"0";"6";"0";"0";"3";"0";"0";"2";"0";"0";"2";"0";"0";"14";"0";"0";"4";"0";"0";"2";"0";"0";"8";"0";"0";"2";"0";"0";"1";"0";"0";"4";"0";"0";"7";"0";"0";"5";"0";"0";"4";"0";"0";"8";"0";"0";"3";"0";"0";"5";"0";"0";"3";"0";"0";"6";"0";"0";"3";"0";"0";"6";"0";"0";"4";"0";"0";"3";"0";"0";"3";"0";"0";"3";"0";"0";"9";"0";"0";"6";"0";"0";"2";"0";"0";"5";"0";"0";"6";"0"
"hsa-mir-345";"inter";"SLC25A29";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-345/";"0";"24";"0";"0";"25";"0";"0";"17";"0";"0";"33";"0";"0";"18";"0";"0";"11";"0";"0";"12";"0";"0";"20";"0";"0";"27";"0";"0";"39";"1";"0";"20";"0";"0";"30";"0";"0";"21";"0";"0";"70";"0";"0";"32";"0";"0";"12";"0";"0";"35";"1";"0";"25";"0";"0";"37";"0";"0";"41";"1";"0";"34";"1";"0";"25";"0";"0";"27";"0";"0";"33";"0";"0";"10";"0";"0";"25";"0";"0";"24";"0";"0";"38";"0";"0";"28";"0";"0";"26";"0";"0";"26";"0";"0";"22";"1";"0";"31";"0";"0";"29";"0";"0";"40";"0";"0";"24";"0";"0";"21";"0";"0";"40";"0";"0";"40";"1"
"hsa-mir-346";"intra";"GRID1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-346/";"0";"13";"1";"0";"14";"0";"0";"6";"0";"0";"10";"1";"0";"5";"0";"0";"3";"0";"0";"2";"0";"0";"8";"1";"0";"12";"0";"0";"17";"0";"0";"6";"0";"0";"6";"1";"0";"6";"1";"0";"20";"3";"0";"12";"0";"0";"2";"0";"0";"14";"0";"0";"12";"0";"0";"11";"1";"0";"19";"1";"0";"17";"0";"0";"5";"0";"0";"8";"1";"0";"6";"1";"0";"2";"0";"0";"12";"0";"0";"9";"0";"0";"11";"0";"0";"8";"0";"0";"10";"0";"0";"5";"0";"0";"8";"0";"0";"9";"0";"0";"13";"0";"0";"18";"0";"0";"10";"0";"0";"5";"0";"0";"15";"2";"0";"15";"0"
"hsa-mir-196b";"inter";"HOXA10-HOXA9";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-196b/";"0";"12";"0";"0";"9";"0";"0";"6";"0";"0";"11";"0";"0";"9";"0";"0";"2";"0";"0";"4";"0";"0";"8";"0";"0";"9";"0";"0";"11";"0";"0";"6";"0";"0";"9";"0";"0";"5";"0";"0";"31";"0";"0";"18";"0";"0";"4";"0";"0";"12";"0";"0";"8";"0";"0";"10";"0";"0";"18";"0";"0";"12";"0";"0";"6";"0";"0";"9";"0";"0";"7";"0";"0";"4";"0";"0";"11";"0";"0";"8";"0";"0";"14";"0";"0";"15";"0";"0";"15";"0";"0";"12";"0";"0";"8";"0";"0";"11";"0";"0";"6";"0";"0";"22";"0";"0";"10";"0";"0";"4";"0";"0";"10";"0";"0";"13";"0"
"hsa-mir-423";"intra";"NSRP1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-423/";"0";"14";"0";"0";"15";"0";"0";"12";"0";"0";"18";"0";"0";"13";"0";"0";"4";"0";"0";"4";"0";"0";"6";"0";"0";"22";"0";"0";"25";"1";"0";"16";"0";"0";"17";"0";"0";"11";"0";"0";"50";"0";"0";"19";"0";"0";"5";"0";"0";"34";"1";"0";"17";"0";"0";"20";"0";"0";"18";"1";"0";"25";"1";"0";"10";"0";"0";"19";"0";"0";"18";"0";"0";"4";"0";"0";"28";"0";"0";"16";"0";"0";"28";"0";"0";"17";"0";"0";"10";"0";"0";"17";"0";"0";"15";"1";"0";"12";"0";"0";"17";"0";"0";"34";"0";"0";"29";"0";"0";"9";"0";"0";"19";"0";"0";"25";"0"
"hsa-mir-424";"inter";"MGC16121";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-424/";"0";"31";"3";"0";"21";"1";"0";"20";"2";"0";"30";"3";"0";"20";"2";"0";"9";"0";"0";"9";"1";"0";"17";"0";"0";"36";"2";"0";"41";"5";"0";"19";"1";"0";"21";"2";"0";"21";"2";"0";"83";"3";"0";"36";"3";"0";"10";"0";"0";"52";"5";"0";"28";"2";"0";"38";"3";"0";"51";"5";"0";"43";"4";"0";"22";"0";"0";"26";"1";"0";"28";"1";"0";"11";"0";"0";"30";"3";"0";"30";"2";"0";"32";"1";"0";"29";"2";"0";"18";"0";"0";"24";"2";"0";"26";"2";"0";"35";"3";"0";"30";"3";"0";"55";"3";"0";"35";"2";"0";"10";"1";"0";"28";"1";"0";"41";"2"
"hsa-mir-425";"intra";"DALRD3";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-425/";"0";"11";"0";"0";"8";"0";"0";"17";"0";"0";"10";"0";"0";"5";"0";"0";"5";"0";"0";"4";"0";"0";"5";"0";"0";"21";"0";"0";"18";"0";"0";"6";"0";"0";"8";"0";"0";"7";"0";"0";"41";"0";"0";"19";"0";"0";"5";"0";"0";"27";"0";"0";"14";"0";"0";"9";"0";"0";"20";"0";"0";"19";"0";"0";"14";"0";"0";"11";"0";"0";"9";"0";"0";"4";"0";"0";"15";"0";"0";"11";"0";"0";"16";"0";"0";"10";"0";"0";"9";"0";"0";"10";"0";"0";"9";"0";"0";"15";"0";"0";"11";"0";"0";"25";"0";"0";"14";"0";"0";"7";"0";"0";"13";"0";"0";"13";"0"
"hsa-mir-20b";"inter";"CCDC160";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-20b/";"0";"35";"4";"0";"30";"2";"0";"34";"3";"0";"41";"3";"0";"22";"2";"0";"12";"1";"0";"13";"2";"0";"27";"1";"0";"36";"3";"0";"45";"8";"0";"23";"3";"0";"34";"2";"0";"24";"2";"0";"107";"4";"0";"49";"2";"0";"12";"1";"0";"58";"5";"0";"34";"3";"0";"38";"3";"0";"61";"4";"0";"56";"5";"0";"33";"2";"0";"39";"3";"0";"28";"2";"0";"16";"1";"0";"40";"4";"0";"31";"5";"0";"43";"2";"0";"37";"2";"0";"35";"2";"0";"29";"2";"0";"32";"4";"0";"35";"3";"0";"38";"5";"0";"67";"3";"0";"40";"2";"0";"21";"2";"0";"42";"3";"0";"47";"3"
"hsa-mir-329-1";"inter";"SNORD114-31";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-329-1/";"0";"20";"0";"0";"10";"0";"0";"13";"0";"0";"20";"0";"0";"14";"0";"0";"7";"0";"0";"4";"0";"0";"8";"0";"0";"21";"0";"0";"21";"0";"0";"13";"0";"0";"17";"0";"0";"22";"0";"0";"39";"0";"0";"20";"0";"0";"5";"0";"0";"23";"0";"0";"25";"0";"0";"23";"0";"0";"26";"0";"0";"28";"0";"0";"16";"0";"0";"14";"0";"0";"11";"0";"0";"5";"0";"0";"19";"0";"0";"15";"0";"0";"23";"0";"0";"19";"0";"0";"13";"0";"0";"13";"0";"0";"12";"0";"0";"15";"0";"0";"20";"0";"0";"35";"0";"0";"22";"0";"0";"10";"0";"0";"24";"0";"0";"22";"0"
"hsa-mir-329-2";"inter";"SNORD114-31";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-329-2/";"0";"20";"0";"0";"10";"0";"0";"13";"0";"0";"20";"0";"0";"14";"0";"0";"7";"0";"0";"4";"0";"0";"8";"0";"0";"21";"0";"0";"21";"0";"0";"13";"0";"0";"17";"0";"0";"22";"0";"0";"39";"0";"0";"20";"0";"0";"5";"0";"0";"23";"0";"0";"25";"0";"0";"23";"0";"0";"26";"0";"0";"28";"0";"0";"16";"0";"0";"14";"0";"0";"11";"0";"0";"5";"0";"0";"19";"0";"0";"15";"0";"0";"23";"0";"0";"19";"0";"0";"13";"0";"0";"13";"0";"0";"12";"0";"0";"15";"0";"0";"20";"0";"0";"35";"0";"0";"22";"0";"0";"10";"0";"0";"24";"0";"0";"22";"0"
"hsa-mir-376b";"inter";"MEG9";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-376b/";"0";"12";"0";"0";"10";"0";"0";"9";"0";"0";"8";"0";"0";"5";"0";"0";"3";"0";"0";"4";"0";"0";"10";"0";"0";"12";"0";"0";"11";"0";"0";"6";"0";"0";"9";"0";"0";"8";"0";"0";"32";"0";"0";"11";"0";"0";"4";"0";"0";"14";"0";"0";"12";"0";"0";"9";"0";"0";"17";"0";"0";"19";"0";"0";"9";"0";"0";"15";"0";"0";"9";"0";"0";"4";"0";"0";"7";"0";"0";"12";"0";"0";"16";"0";"0";"14";"0";"0";"11";"1";"0";"7";"0";"0";"11";"0";"0";"10";"0";"0";"9";"0";"0";"24";"0";"0";"9";"0";"0";"6";"0";"0";"14";"0";"0";"13";"0"
"hsa-mir-484";"intra";"NDE1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-484/";"0";"14";"0";"0";"14";"0";"0";"12";"0";"0";"12";"0";"0";"12";"0";"0";"5";"0";"0";"1";"0";"0";"6";"0";"0";"17";"0";"0";"21";"0";"0";"9";"0";"0";"20";"0";"0";"11";"0";"0";"57";"0";"0";"20";"0";"0";"4";"0";"0";"27";"0";"0";"18";"0";"0";"16";"0";"0";"24";"0";"0";"19";"0";"0";"9";"0";"0";"15";"0";"0";"11";"0";"0";"4";"0";"0";"21";"0";"0";"9";"0";"0";"19";"0";"0";"16";"0";"0";"7";"0";"0";"12";"0";"0";"13";"0";"0";"16";"0";"0";"18";"0";"0";"32";"0";"0";"21";"0";"0";"3";"0";"0";"21";"0";"0";"15";"0"
"hsa-mir-486-1";"intra";"ANK1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-486-1/";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"hsa-mir-489";"intra";"CALCR";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-489/";"0";"8";"0";"0";"10";"0";"0";"9";"0";"1";"12";"0";"0";"10";"0";"0";"3";"0";"0";"6";"0";"0";"10";"0";"0";"8";"0";"0";"16";"0";"0";"6";"0";"0";"11";"1";"0";"7";"0";"0";"31";"0";"0";"19";"0";"0";"4";"0";"0";"16";"0";"0";"9";"0";"0";"12";"0";"0";"23";"0";"0";"14";"0";"0";"12";"0";"0";"15";"0";"0";"14";"0";"0";"6";"0";"0";"13";"0";"0";"9";"0";"0";"15";"0";"0";"12";"1";"0";"13";"0";"0";"10";"0";"0";"9";"1";"0";"13";"0";"0";"9";"0";"0";"25";"0";"0";"13";"0";"0";"8";"0";"0";"16";"0";"0";"18";"1"
"hsa-mir-146b";"inter";"CUEDC2";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-146b/";"0";"26";"2";"0";"18";"1";"0";"18";"1";"0";"23";"2";"0";"19";"1";"0";"8";"0";"0";"9";"1";"0";"12";"3";"0";"20";"0";"0";"28";"3";"0";"17";"1";"0";"21";"1";"0";"16";"2";"0";"60";"3";"0";"28";"2";"0";"10";"0";"0";"37";"3";"0";"25";"1";"0";"31";"2";"0";"37";"2";"0";"25";"2";"0";"21";"1";"0";"20";"2";"0";"25";"2";"0";"9";"1";"0";"26";"1";"0";"17";"1";"0";"38";"1";"0";"27";"2";"0";"17";"1";"0";"19";"2";"0";"19";"2";"0";"27";"4";"0";"25";"1";"0";"43";"3";"0";"29";"1";"0";"14";"1";"0";"31";"4";"0";"29";"3"
"hsa-mir-193b";"inter";"MKL2";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-193b/";"0";"23";"4";"0";"24";"3";"0";"18";"2";"0";"29";"2";"0";"18";"2";"0";"13";"2";"0";"13";"2";"0";"21";"2";"0";"21";"3";"0";"35";"2";"0";"17";"2";"0";"26";"2";"0";"20";"2";"0";"76";"2";"0";"38";"2";"0";"13";"2";"0";"39";"4";"0";"23";"2";"0";"31";"2";"0";"42";"3";"0";"38";"3";"0";"23";"2";"0";"27";"2";"0";"22";"2";"0";"10";"2";"0";"30";"3";"0";"20";"2";"0";"34";"2";"0";"31";"3";"0";"20";"2";"0";"23";"2";"0";"18";"4";"0";"23";"2";"0";"29";"3";"0";"46";"2";"0";"38";"2";"0";"18";"2";"0";"35";"3";"0";"32";"2"
"hsa-mir-500a";"intra";"CLCN5";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-500a/";"0";"21";"0";"0";"14";"0";"0";"14";"0";"0";"16";"0";"0";"13";"0";"0";"8";"0";"0";"9";"0";"0";"11";"0";"0";"21";"0";"0";"19";"0";"0";"15";"0";"0";"19";"0";"0";"14";"0";"0";"48";"0";"0";"36";"0";"0";"6";"0";"0";"31";"0";"0";"25";"0";"0";"15";"0";"0";"39";"0";"0";"27";"0";"0";"20";"0";"0";"15";"0";"0";"16";"0";"0";"6";"0";"0";"19";"0";"0";"14";"0";"0";"29";"0";"0";"20";"0";"0";"15";"0";"0";"13";"0";"0";"13";"0";"0";"14";"0";"0";"19";"0";"0";"31";"0";"0";"16";"0";"0";"9";"0";"0";"27";"0";"0";"23";"0"
"hsa-mir-502";"intra";"CLCN5";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-502/";"0";"21";"0";"0";"15";"0";"0";"13";"0";"0";"17";"0";"0";"12";"0";"0";"3";"0";"0";"4";"0";"0";"12";"0";"0";"20";"0";"0";"21";"0";"0";"9";"0";"0";"10";"0";"0";"19";"0";"0";"46";"0";"0";"26";"0";"0";"4";"0";"0";"33";"0";"0";"18";"0";"0";"23";"0";"0";"38";"0";"0";"30";"0";"0";"18";"0";"0";"20";"0";"0";"17";"0";"0";"5";"0";"0";"26";"0";"0";"14";"0";"0";"19";"0";"0";"18";"0";"0";"12";"0";"0";"15";"0";"0";"14";"0";"0";"19";"0";"0";"19";"0";"0";"35";"0";"0";"15";"0";"0";"5";"0";"0";"24";"0";"0";"24";"0"
"hsa-mir-503";"inter";"MGC16121";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-503/";"0";"6";"1";"0";"5";"0";"0";"6";"0";"0";"7";"0";"0";"7";"0";"0";"3";"0";"0";"1";"0";"0";"4";"0";"0";"9";"1";"0";"12";"1";"0";"5";"0";"0";"6";"0";"0";"5";"0";"0";"19";"0";"0";"11";"0";"0";"0";"0";"0";"21";"2";"0";"10";"0";"0";"8";"0";"0";"18";"5";"0";"14";"2";"0";"8";"0";"0";"8";"0";"0";"8";"0";"0";"2";"0";"0";"11";"1";"0";"14";"0";"0";"12";"0";"0";"7";"0";"0";"5";"0";"0";"6";"0";"0";"5";"2";"0";"10";"0";"0";"11";"1";"0";"21";"0";"0";"7";"0";"0";"3";"0";"0";"10";"0";"0";"11";"0"
"hsa-mir-505";"inter";"CXorf66";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-505/";"0";"24";"0";"0";"18";"0";"0";"20";"0";"0";"28";"0";"0";"18";"0";"0";"11";"0";"0";"10";"0";"0";"9";"0";"0";"26";"0";"0";"28";"0";"0";"18";"0";"0";"22";"0";"0";"17";"0";"0";"57";"0";"0";"36";"0";"0";"7";"0";"0";"43";"0";"0";"23";"0";"0";"25";"0";"0";"36";"0";"0";"34";"0";"0";"22";"0";"0";"23";"0";"0";"19";"0";"0";"11";"0";"0";"30";"0";"0";"24";"0";"0";"32";"0";"0";"28";"0";"0";"17";"0";"0";"21";"0";"0";"19";"0";"0";"20";"0";"0";"23";"0";"0";"44";"0";"0";"24";"0";"0";"14";"0";"0";"28";"0";"0";"37";"0"
"hsa-mir-532";"intra";"CLCN5";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-532/";"0";"28";"0";"0";"31";"0";"0";"22";"0";"0";"32";"0";"0";"19";"0";"0";"9";"0";"0";"10";"0";"0";"21";"0";"0";"33";"0";"0";"34";"0";"0";"17";"0";"0";"27";"0";"0";"21";"0";"0";"91";"0";"0";"33";"0";"0";"10";"0";"0";"50";"0";"0";"32";"0";"0";"27";"0";"0";"51";"0";"0";"42";"0";"0";"25";"0";"0";"38";"0";"0";"30";"0";"0";"13";"0";"0";"33";"0";"0";"21";"0";"0";"46";"0";"0";"31";"0";"0";"20";"0";"0";"22";"0";"0";"24";"0";"0";"30";"0";"0";"33";"0";"0";"57";"0";"0";"35";"0";"0";"16";"0";"0";"37";"0";"0";"32";"0"
"hsa-mir-545";"inter";"FTX";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-545/";"0";"35";"0";"0";"34";"0";"0";"33";"0";"0";"44";"0";"0";"27";"0";"0";"12";"0";"0";"20";"0";"0";"28";"0";"0";"45";"0";"0";"49";"0";"0";"25";"0";"0";"38";"0";"0";"29";"0";"0";"88";"0";"0";"57";"0";"0";"19";"0";"0";"67";"0";"0";"39";"0";"0";"43";"0";"0";"68";"0";"0";"59";"0";"0";"35";"0";"0";"41";"0";"0";"33";"0";"0";"17";"0";"0";"48";"0";"0";"30";"0";"0";"51";"0";"0";"42";"0";"0";"32";"0";"0";"32";"0";"0";"32";"0";"0";"40";"0";"0";"44";"0";"0";"77";"0";"0";"43";"0";"0";"22";"0";"0";"47";"0";"0";"55";"0"
"hsa-mir-376a-2";"inter";"MEG9";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-376a-2/";"0";"12";"0";"0";"10";"0";"0";"9";"0";"0";"8";"0";"0";"5";"0";"0";"3";"0";"0";"4";"0";"0";"10";"0";"0";"12";"0";"0";"11";"0";"0";"6";"0";"0";"9";"0";"0";"8";"0";"0";"32";"0";"0";"11";"0";"0";"4";"0";"0";"14";"0";"0";"12";"0";"0";"9";"0";"0";"17";"0";"0";"19";"0";"0";"9";"0";"0";"15";"0";"0";"9";"0";"0";"4";"0";"0";"7";"0";"0";"12";"0";"0";"16";"0";"0";"14";"0";"0";"11";"1";"0";"7";"0";"0";"11";"0";"0";"10";"0";"0";"9";"0";"0";"24";"0";"0";"9";"0";"0";"6";"0";"0";"14";"0";"0";"13";"0"
"hsa-mir-92b";"inter";"THBS3";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-92b/";"0";"20";"0";"0";"16";"0";"0";"18";"0";"0";"21";"0";"0";"11";"0";"0";"8";"0";"0";"9";"0";"0";"13";"0";"0";"19";"0";"0";"28";"0";"0";"19";"0";"0";"14";"0";"0";"14";"0";"0";"43";"0";"0";"29";"0";"0";"11";"0";"0";"32";"0";"0";"24";"0";"0";"14";"0";"0";"31";"0";"0";"31";"0";"0";"19";"0";"0";"17";"0";"0";"17";"0";"0";"6";"0";"0";"24";"0";"0";"16";"0";"0";"27";"0";"0";"17";"0";"0";"12";"0";"0";"12";"0";"0";"15";"0";"0";"15";"0";"0";"20";"0";"0";"36";"0";"0";"25";"0";"0";"11";"0";"0";"22";"0";"0";"26";"0"
"hsa-mir-555";"intra";"ASH1L";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-555/";"0";"10";"0";"0";"7";"0";"0";"5";"0";"0";"7";"0";"0";"3";"0";"0";"2";"0";"0";"2";"0";"0";"6";"0";"0";"8";"0";"0";"7";"0";"0";"4";"0";"0";"6";"0";"0";"3";"0";"0";"21";"0";"0";"9";"0";"0";"6";"0";"0";"16";"0";"0";"8";"0";"0";"9";"0";"0";"14";"0";"0";"13";"0";"1";"4";"0";"0";"9";"0";"0";"6";"0";"0";"0";"0";"0";"11";"0";"0";"8";"0";"0";"8";"0";"0";"8";"0";"0";"7";"0";"0";"3";"0";"0";"9";"0";"0";"7";"0";"0";"9";"0";"0";"24";"0";"0";"10";"0";"0";"3";"0";"0";"11";"0";"0";"11";"0"
"hsa-mir-558";"intra";"BIRC6";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-558/";"0";"11";"0";"0";"7";"0";"0";"10";"0";"0";"14";"0";"0";"9";"0";"0";"3";"0";"0";"4";"0";"0";"6";"0";"0";"19";"0";"0";"16";"0";"0";"7";"0";"0";"14";"0";"0";"10";"0";"0";"37";"0";"1";"17";"0";"0";"9";"0";"0";"19";"0";"0";"8";"0";"0";"9";"0";"0";"18";"0";"0";"21";"0";"0";"10";"0";"0";"12";"0";"0";"10";"0";"0";"4";"0";"0";"16";"0";"0";"7";"0";"0";"15";"0";"0";"16";"0";"0";"4";"0";"0";"12";"0";"0";"15";"0";"0";"13";"0";"0";"14";"0";"0";"22";"0";"0";"18";"0";"0";"5";"0";"0";"21";"0";"0";"20";"0"
"hsa-mir-551b";"inter";"EGFEM1P";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-551b/";"0";"32";"0";"0";"31";"0";"0";"31";"0";"0";"34";"0";"0";"29";"0";"0";"13";"0";"0";"19";"0";"0";"21";"0";"0";"39";"0";"0";"46";"0";"0";"28";"0";"0";"33";"0";"0";"24";"0";"0";"84";"0";"0";"42";"0";"0";"17";"0";"0";"50";"0";"0";"40";"0";"0";"28";"0";"0";"65";"0";"0";"47";"0";"0";"32";"0";"0";"28";"0";"0";"31";"0";"0";"13";"0";"0";"35";"0";"0";"35";"0";"0";"46";"0";"0";"33";"0";"0";"33";"0";"0";"27";"0";"0";"30";"0";"0";"30";"0";"0";"38";"0";"0";"51";"0";"0";"44";"0";"0";"21";"0";"0";"36";"0";"0";"38";"0"
"hsa-mir-570";"inter";"SDHAP2";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-570/";"0";"38";"0";"0";"37";"0";"0";"31";"0";"0";"37";"0";"0";"30";"0";"0";"10";"0";"0";"12";"0";"0";"25";"0";"0";"37";"0";"0";"47";"0";"0";"22";"0";"0";"33";"0";"0";"29";"0";"0";"97";"0";"0";"41";"0";"0";"12";"0";"0";"59";"0";"0";"37";"0";"0";"44";"0";"0";"69";"0";"0";"56";"0";"0";"32";"0";"0";"31";"0";"0";"39";"0";"0";"11";"0";"0";"41";"0";"0";"29";"0";"0";"57";"0";"0";"40";"0";"0";"31";"0";"0";"27";"0";"0";"27";"0";"0";"34";"0";"0";"43";"0";"0";"67";"0";"0";"39";"0";"0";"20";"0";"0";"37";"0";"0";"44";"0"
"hsa-mir-574";"intra";"FAM114A1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-574/";"0";"12";"0";"0";"11";"0";"0";"9";"0";"0";"13";"0";"0";"11";"0";"0";"6";"0";"0";"1";"0";"0";"10";"0";"0";"11";"0";"0";"16";"0";"0";"7";"0";"0";"14";"0";"0";"9";"0";"0";"49";"0";"0";"20";"0";"0";"6";"0";"0";"21";"0";"0";"11";"0";"0";"10";"0";"0";"23";"0";"0";"18";"0";"0";"11";"0";"0";"9";"0";"0";"15";"0";"0";"1";"0";"0";"12";"0";"0";"7";"0";"0";"16";"0";"0";"14";"0";"0";"9";"0";"0";"8";"0";"0";"10";"0";"0";"13";"0";"0";"15";"0";"0";"18";"0";"0";"19";"0";"0";"3";"0";"0";"18";"0";"0";"12";"0"
"hsa-mir-576";"intra";"SEC24B";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-576/";"0";"30";"0";"0";"26";"0";"0";"26";"0";"0";"28";"0";"0";"21";"0";"0";"9";"0";"0";"10";"0";"0";"22";"0";"0";"26";"0";"0";"43";"0";"0";"16";"0";"0";"31";"0";"0";"22";"0";"0";"76";"0";"0";"37";"0";"0";"11";"0";"0";"44";"0";"0";"23";"0";"0";"34";"0";"0";"45";"0";"0";"39";"0";"0";"18";"0";"0";"36";"0";"0";"30";"0";"0";"10";"0";"0";"25";"0";"0";"28";"0";"0";"42";"0";"0";"31";"0";"0";"23";"0";"0";"22";"0";"0";"20";"0";"0";"32";"0";"0";"31";"0";"0";"56";"0";"0";"29";"0";"0";"19";"0";"0";"43";"0";"0";"41";"0"
"hsa-mir-582";"intra";"PDE4D";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-mir-582/";"0";"27";"0";"0";"19";"0";"0";"21";"0";"0";"26";"0";"0";"18";"0";"0";"7";"0";"0";"10";"0";"0";"14";"0";"0";"24";"0";"0";"38";"0";"0";"19";"0";"0";"20";"0";"0";"18";"0";"0";"62";"0";"0";"29";"0";"0";"12";"0";"0";"39";"1";"0";"24";"0";"0";"36";"0";"0";"46";"0";"0";"34";"0";"0";"25";"0";"0";"21";"0";"0";"22";"0";"0";"8";"0";"0";"27";"0";"0";"22";"0";"0";"28";"0";"0";"24";"0";"0";"24";"0";"0";"21";"0";"0";"20";"1";"0";"22";"0";"0";"30";"0";"0";"51";"0";"0";"28";"0";"0";"12";"0";"0";"25";"0";"0";"30";"0"
