MirnaId;Accession;Intragenic;A549;BCELL;DendriticCell;Granulocite;lung;Monocyte;NKCELL
hsa-mir-93;MI0000095;1;0;0;0;0;0;0;0
hsa-mir-95;MI0000097;0;1;1;0;0;0;0;0
hsa-mir-96;MI0000098;0;0;1;1;0;0;0;0
hsa-mir-98;MI0000100;1;0;1;1;0;0;0;0
hsa-mir-99a;MI0000101;0;0;1;0;0;0;1;0
hsa-mir-101-1;MI0000103;0;0;1;0;0;0;1;0
hsa-mir-29b-1;MI0000105;0;0;1;0;0;0;0;0
hsa-mir-29b-2;MI0000107;0;0;1;0;0;0;0;0
hsa-mir-103a-2;MI0000108;0;0;0;0;0;0;1;0
hsa-mir-103a-1;MI0000109;0;0;0;0;0;0;1;0
hsa-mir-105-1;MI0000111;0;0;1;0;0;1;0;0
hsa-mir-105-2;MI0000112;0;0;1;0;0;1;0;0
hsa-mir-106a;MI0000113;0;1;1;0;0;0;0;0
hsa-mir-107;MI0000114;0;1;1;0;0;0;0;0
hsa-mir-16-2;MI0000115;0;0;1;1;0;0;1;0
hsa-mir-192;MI0000234;0;1;1;0;0;0;0;0
hsa-mir-196a-1;MI0000238;0;0;0;0;0;1;0;0
hsa-mir-197;MI0000239;0;1;1;1;0;0;1;0
hsa-mir-199a-1;MI0000242;1;0;0;0;0;0;0;0
hsa-mir-129-1;MI0000252;0;0;0;0;0;0;1;0
hsa-mir-148a;MI0000253;0;1;1;0;0;0;0;0
hsa-mir-30c-2;MI0000254;0;1;1;0;0;0;1;0
hsa-mir-30d;MI0000255;0;1;0;0;0;0;0;0
hsa-mir-147a;MI0000262;0;0;0;0;0;1;0;0
hsa-mir-7-1;MI0000263;0;0;1;0;0;0;0;0
hsa-mir-7-2;MI0000264;0;0;1;0;0;0;0;0
hsa-mir-7-3;MI0000265;0;0;1;0;0;0;0;0
hsa-mir-10a;MI0000266;0;0;1;0;0;0;0;0
hsa-mir-10b;MI0000267;0;1;0;0;0;0;0;0
hsa-mir-34a;MI0000268;0;1;1;0;0;0;0;0
hsa-mir-181a-2;MI0000269;0;0;1;0;0;0;0;0
hsa-mir-181b-1;MI0000270;0;0;1;0;0;0;0;0
hsa-mir-181c;MI0000271;0;1;1;1;0;0;0;0
hsa-mir-182;MI0000272;0;1;1;0;0;1;0;0
hsa-mir-183;MI0000273;0;0;0;0;0;1;0;0
hsa-mir-196a-2;MI0000279;0;0;0;0;0;1;0;0
hsa-mir-199b;MI0000282;1;0;1;1;0;0;1;0
hsa-mir-203a;MI0000283;0;1;0;0;0;0;0;0
hsa-mir-205;MI0000285;0;0;1;0;0;0;0;0
hsa-mir-210;MI0000286;0;1;1;0;0;0;0;0
hsa-mir-211;MI0000287;0;0;0;0;0;1;0;0
hsa-mir-181a-1;MI0000289;0;0;1;0;0;0;0;0
hsa-mir-214;MI0000290;0;1;0;0;0;0;0;0
hsa-mir-215;MI0000291;0;1;0;0;0;1;0;0
hsa-mir-218-1;MI0000294;0;1;1;0;0;0;0;0
hsa-mir-218-2;MI0000295;0;1;1;0;0;0;0;0
hsa-mir-221;MI0000298;0;0;1;0;0;0;0;0
hsa-mir-222;MI0000299;0;0;1;1;0;0;1;0
hsa-mir-223;MI0000300;0;1;1;0;0;1;0;0
hsa-mir-200b;MI0000342;0;1;1;0;0;0;0;0
hsa-let-7g;MI0000433;0;0;1;0;0;0;0;0
hsa-let-7i;MI0000434;0;0;1;1;0;0;0;0
hsa-mir-23b;MI0000439;0;0;1;0;0;0;0;0
hsa-mir-27b;MI0000440;0;1;1;0;0;0;1;0
hsa-mir-30b;MI0000441;0;0;1;0;0;1;1;0
hsa-mir-124-1;MI0000443;0;0;1;0;0;0;1;0
hsa-mir-124-2;MI0000444;0;0;1;0;0;0;1;0
hsa-mir-124-3;MI0000445;0;0;1;0;0;0;1;0
hsa-mir-125b-1;MI0000446;0;0;1;0;0;0;0;0
hsa-mir-130a;MI0000448;0;0;1;0;0;0;1;0
hsa-mir-132;MI0000449;0;1;1;0;0;0;0;0
hsa-mir-133a-1;MI0000450;0;0;1;0;0;0;0;0
hsa-mir-133a-2;MI0000451;0;0;1;0;0;0;0;0
hsa-mir-135a-1;MI0000452;0;0;1;1;0;0;0;0
hsa-mir-135a-2;MI0000453;0;0;1;1;0;0;0;0
hsa-mir-138-2;MI0000455;0;1;1;0;0;0;0;0
hsa-mir-140;MI0000456;1;0;1;1;0;0;1;0
hsa-mir-141;MI0000457;0;1;1;1;0;0;0;0
hsa-mir-142;MI0000458;0;1;1;1;1;0;1;1
hsa-mir-143;MI0000459;0;1;1;1;0;0;1;0
hsa-mir-144;MI0000460;0;0;1;0;0;0;0;0
hsa-mir-145;MI0000461;0;1;1;0;0;0;0;0
hsa-mir-152;MI0000462;0;1;1;0;0;0;0;0
hsa-mir-9-1;MI0000466;0;0;1;0;0;1;0;0
hsa-mir-9-2;MI0000467;0;0;1;0;0;1;0;0
hsa-mir-9-3;MI0000468;0;0;1;0;0;1;0;0
hsa-mir-125a;MI0000469;0;1;0;0;0;0;0;0
hsa-mir-125b-2;MI0000470;0;0;1;0;0;0;0;0
hsa-mir-126;MI0000471;0;0;1;1;0;1;1;0
